,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
93,Quiterianópolis,569.7757847533633,478.8816143497758,499.35291479820626,496.9701793721973,454.47264573991026,499.8906278026906,546,81,0.14835164835164835,455,0.8333333333333334,84,0.15384615384615385,0.0021787100918968746
94,São Gonçalo do Amarante,569.3830703012912,471.7322094691535,502.57977044476326,494.3815638450502,459.09827833572456,499.43497847919656,1922,336,0.17481789802289283,1520,0.7908428720083247,351,0.18262226847034338,0.007669378748398887
95,Aratuba,588.6363636363636,465.96676136363635,492.775,488.6667613636364,460.31789772727274,499.27255681818184,455,73,0.16043956043956045,404,0.8879120879120879,73,0.16043956043956045,0.0018155917432473953
96,Massapê,575.9828141783029,470.89581095596134,498.9737916219119,489.31987110633725,460.9293233082707,499.2203222341568,1249,231,0.18494795836669337,1043,0.8350680544435548,242,0.19375500400320256,0.004983899093002191
97,Monsenhor Tabosa,577.6572668112798,468.2874186550976,503.49262472885033,493.0251626898048,452.3412147505423,498.96073752711493,635,82,0.12913385826771653,467,0.7354330708661417,86,0.13543307086614173,0.0025338478174991123
98,Tamboril,572.2082018927445,477.8198738170347,488.4776025236593,494.9233438485805,457.25220820189276,498.13624605678234,902,141,0.15631929046563192,761,0.843680709534368,142,0.1574279379157428,0.0035992609943058256
99,Redenção,564.5412844036697,477.02087155963306,495.36731651376147,493.597247706422,457.57844036697253,497.62103211009173,1084,207,0.19095940959409594,875,0.8071955719557196,214,0.1974169741697417,0.004325497691604783
100,Cedro,562.3304347826087,469.22591304347833,496.5690434782609,492.3335652173913,460.9754782608696,496.28688695652176,692,150,0.21676300578034682,478,0.6907514450867052,156,0.2254335260115607,0.002761295574345489
101,Santa Quitéria,560.6776379477251,472.6584704743466,493.8106485963214,489.605614714424,461.44966118102616,495.6404065827686,1228,221,0.17996742671009772,1131,0.9210097719869706,224,0.18241042345276873,0.004900102551006157
102,Pedra Branca,549.2934782608696,478.63165760869566,493.7639945652174,494.0252717391304,462.26331521739127,495.5955434782609,969,173,0.1785345717234262,829,0.8555211558307534,176,0.18163054695562436,0.0038666118663884088
103,Nova Olinda,558.2879377431907,475.4389105058366,490.57101167315176,490.95544747081715,459.8344357976654,495.01754863813227,666,150,0.22522522522522523,576,0.8648648648648649,154,0.23123123123123124,0.0026575474747313524
104,Caridade,588.5639686684073,457.4706266318538,492.7557441253264,483.3327676240209,450.9864229765013,494.62190600522194,928,130,0.1400862068965517,728,0.7844827586206896,131,0.1411637931034483,0.0037030090939199622
105,Assaré,554.8139534883721,469.69000000000005,500.6172093023256,491.4301162790698,455.8977906976744,494.48981395348835,1202,191,0.1589018302828619,928,0.7720465890183028,196,0.16306156405990016,0.00479635445139202
106,Itatira,612.263868065967,449.687856071964,486.0164917541229,470.84287856071967,448.0271364317841,493.3676461769115,836,61,0.0729665071770335,602,0.7200956937799043,65,0.07775119617224881,0.003335900433746863
107,Boa Viagem,541.6115702479339,470.83150826446285,493.8715909090909,492.26642561983476,463.82582644628104,492.48138429752066,1281,232,0.18110850897736144,1141,0.8907103825136612,234,0.18266978922716628,0.0051115890617580515
108,Baturité,558.8032909498878,468.433133881825,486.0498130142109,488.02528047868367,459.331488406881,492.1286013462976,1739,302,0.17366302472685452,1325,0.7619321449108684,315,0.18113858539390454,0.006939151739576308
109,Amontada,565.2702702702703,463.26119691119686,491.60646718146717,483.7342664092664,452.82702702702704,491.33984555984557,1286,166,0.1290824261275272,888,0.6905132192846034,168,0.13063763608087092,0.005131540619376155
110,Orós,531.3432835820895,474.51144278606967,490.2228855721393,497.9636815920398,461.27189054726364,491.06263681592037,477,47,0.09853249475890985,301,0.6310272536687631,50,0.10482180293501048,0.0019033785967670497
111,Alto Santo,521.1851851851852,478.48765432098764,503.7019753086419,491.6977777777778,457.43777777777774,490.5020740740741,517,135,0.2611218568665377,476,0.9206963249516441,139,0.2688588007736944,0.0020629910577118758
112,Parambu,539.8886827458256,471.4729128014842,487.5666048237477,496.3174397031539,455.8979591836735,490.22871985157707,670,103,0.1537313432835821,554,0.826865671641791,103,0.1537313432835821,0.002673508720825835
113,Uruoca,530.1244813278008,463.55975103734437,496.353734439834,484.3871369294606,459.6566390041494,486.81634854771784,569,112,0.1968365553602812,455,0.7996485061511424,113,0.19859402460456943,0.002270487256940149
114,Santana do Cariri,539.3814432989691,469.0608247422681,484.973883161512,481.51202749140896,457.5199312714776,486.4896219931272,403,55,0.13647642679900746,331,0.8213399503722084,58,0.14392059553349876,0.0016080955440191216
115,Granja,536.2053571428571,464.60275297619046,490.2870535714286,485.41875000000005,455.8691220238095,486.4766071428572,1640,236,0.14390243902439023,1082,0.6597560975609756,250,0.1524390243902439,0.006544110898737864
116,Ocara,527.9432624113475,469.01248226950355,487.5109219858156,486.4198581560284,455.9001418439716,485.3573333333333,906,143,0.15783664459161148,778,0.8587196467991169,145,0.1600441501103753,0.003615222240400308
117,Pacoti,556.9135802469136,452.63641975308644,474.6924691358025,474.66987654320985,451.2001234567901,482.0224938271605,1012,87,0.08596837944664032,816,0.8063241106719368,91,0.08992094861660078,0.004038195261904097
118,Tejuçuoca,503.1240875912409,469.75620437956206,496.25620437956206,485.8582481751825,454.78408759124085,481.95576642335766,859,55,0.0640279394644936,370,0.4307334109429569,58,0.06752037252619325,0.0034276775987901373
119,Jaguaretama,480.625,474.7861111111111,499.33159722222223,492.1982638888889,454.7131944444444,480.3308333333333,358,42,0.11731843575418995,236,0.659217877094972,42,0.11731843575418995,0.0014285315254561923
